match_no,day_of_week,date,hour,venue,referee,group,1,2,attendance,1_xg,2_xg,1_poss,2_poss,1_goals,2_goals,score,1_attempts,2_attempts,1_conceded,2_conceded,1_goal_inside_penalty_area,2_goal_inside_penalty_area,1_goal_outside_penalty_area,2_goal_outside_penalty_area,1_ontarget,2_ontarget,1_offtarget,2_offtarget,1_attempts_inside_penalty_area,2_attempts_inside_penalty_area,1_attempts_outside_penalty_area,2_attempts_outside_penalty_area,1_yellow_cards,2_yellow_cards,1_red_cards,2_red_cards,faul_against_1,faul_against_2,1_offsides,2_offsides,1_passes,2_passes,1_passes_compeletd,2_passes_compeletd,1_corners,2_corners,1_free_kicks,2_free_kicks,1_panelties_scored,2_panelties_scored,1_goal_prevented,2_goal_prevented,1_own_goal,2_own_goal,1_forced_turnovers,2_forced_turnovers,1_defensive_pressure_applied,2_defensive_pressure_applied
1,Sun,20-Nov-22,17:00,Al Bayt Stadium,Daniele Orsato,Group A,QATAR,ECUADOR,67372,0.3,1.2,47,53,0,2,"0,2",5,6,2,0,0,2,0,0,0,3,5,3,2,4,3,2,4,2,0,0,15,15,3,4,450,480,381,409,1,3,19,17,0,1,6,5,0,0,52,72,256,279
2,Mon,21-Nov-22,14:00,Khalifa International Stadium,Raphael Claus,Group B,ENGLAND,IRAN,45334,2.1,1.4,77,23,6,2,"6,2",13,8,2,6,6,2,0,0,7,3,3,4,10,6,3,2,0,2,0,0,9,14,2,2,809,224,730,154,8,0,16,10,0,1,8,13,0,0,63,72,139,416
3,Mon,21-Nov-22,17:00,Al Thumama Stadium,Wilton Sampaio,Group A,SENEGAL,NETHERLANDS,41721,0.9,0.7,46,54,0,2,"0,2",14,9,2,0,0,2,0,0,3,3,8,5,7,5,7,4,2,1,0,0,13,13,2,1,383,438,313,374,6,7,14,14,0,0,9,15,0,0,63,73,263,251
4,Mon,21-Nov-22,20:00,Ahmed bin Ali Stadium,Abdulrahman Ibrahim Al Jassim,Group B,UNITED STATES,WALES,43418,0.8,1.5,58,42,1,1,"1,1",6,7,1,1,1,1,0,0,1,3,4,3,4,5,2,2,4,2,0,0,15,10,1,1,569,409,509,321,5,3,11,15,0,1,7,7,0,0,81,72,242,292
5,Tue,22-Nov-22,11:00,Lusail Iconic Stadium,Slavko Vincic,Group C,ARGENTINA,SAUDI ARABIA,88012,2.2,0.1,69,31,1,2,"1,2",14,3,2,1,1,2,0,0,6,2,5,0,10,3,4,0,0,6,0,0,7,21,10,1,610,267,529,190,9,2,22,16,1,0,4,14,0,0,65,80,163,361
6,Tue,22-Nov-22,14:00,Education City Stadium,Cesar Ramos,Group D,DENMARK,TUNISIA,42925,1.4,0.9,61,39,0,0,"0,0",11,11,0,0,0,0,0,0,4,1,4,7,7,6,4,5,2,1,0,0,9,10,1,1,594,387,523,302,11,9,11,10,0,0,11,11,0,0,76,73,226,287
7,Tue,22-Nov-22,17:00,Stadium 974,Chris Beath,Group C,MEXICO,POLAND,39369,0.7,0.9,60,40,0,0,"0,0",13,8,0,0,0,0,0,0,4,1,5,4,10,7,3,1,2,1,0,0,14,16,3,0,485,322,422,241,6,5,16,16,0,0,8,15,0,0,61,70,193,290
8,Tue,22-Nov-22,20:00,Al Janoub Stadium,Victor Gomes,Group D,FRANCE,AUSTRALIA,40875,4,0.5,62,38,4,1,"4,1",22,4,1,4,4,1,0,0,7,1,9,3,18,2,4,2,0,3,0,0,5,11,0,0,734,466,672,399,8,1,11,5,0,0,4,22,0,0,64,56,250,316
9,Wed,23-Nov-22,11:00,Al Bayt Stadium,Fernando Rapallini,Group F,MOROCCO,CROATIA,59407,0.4,0.5,36,64,0,0,"0,0",8,6,0,0,0,0,0,0,2,2,0,2,3,4,5,2,1,0,0,0,17,11,0,1,360,667,290,592,0,5,12,17,0,0,7,8,0,0,87,58,391,217
10,Wed,23-Nov-22,14:00,Khalifa International Stadium,Ivan Barton,Group E,GERMANY,JAPAN,42608,3.1,1.5,74,26,1,2,"1,2",25,10,2,1,1,2,0,0,9,3,11,6,15,10,10,0,0,0,0,0,6,14,4,4,820,261,743,207,6,6,17,10,1,0,12,26,0,0,55,87,164,487
11,Wed,23-Nov-22,17:00,Al Thumama Stadium,Mohammed Abdulla Hassan,Group E,SPAIN,COSTA RICA,40013,3.5,0,81,19,7,0,"7,0",17,0,0,7,7,0,0,0,7,0,8,0,12,0,5,0,0,2,0,0,8,12,3,7,1061,231,1003,170,5,0,18,11,1,0,0,17,0,0,46,76,185,585
12,Wed,23-Nov-22,20:00,Ahmed bin Ali Stadium,Janny Sikazwe,Group F,BELGIUM,CANADA,40432,0.8,2.4,53,47,1,0,"1,0",9,21,0,1,1,0,0,0,3,4,6,12,6,16,3,5,3,2,0,0,11,14,0,1,512,448,439,382,4,4,15,10,0,0,21,9,0,0,74,47,284,320
13,Thu,24-Nov-22,11:00,Al Janoub Stadium,Facundo Tello,Group G,SWITZERLAND,CAMEROON,39089,1.4,0.7,51,49,1,0,"1,0",8,7,0,1,1,0,0,0,3,3,4,2,6,6,2,1,2,1,0,0,12,10,2,2,497,500,437,424,11,5,11,14,0,0,7,8,0,0,64,79,313,316
14,Thu,24-Nov-22,14:00,Education City Stadium,Clement Turpin,Group H,URUGUAY,KOREA REPUBLIC,41663,0.6,0.6,56,44,0,0,"0,0",10,6,0,0,0,0,0,0,0,0,6,5,7,1,3,5,1,1,0,0,7,10,1,0,528,419,459,340,4,3,10,8,0,0,6,10,0,0,65,54,240,231
